DSB repair/PC/,DSB repair/PCW/,DSB repair/NC/,DSB repair/NCW/,DSB repair/PA/,DSB repair/PAW/,DSB repair/NA/,DSB repair/NAW/,APOBEC-C/PC/,APOBEC-C/PCW/,APOBEC-C/NC/,APOBEC-C/NCW/,APOBEC-C/PA/,APOBEC-C/PAW/,APOBEC-C/NA/,APOBEC-C/NAW/,SBS1/PC/,SBS1/PCW/,SBS1/NC/,SBS1/NCW/,SBS1/PA/,SBS1/PAW/,SBS1/NA/,SBS1/NAW/,APOBEC-D/PC/,APOBEC-D/PCW/,APOBEC-D/NC/,APOBEC-D/NCW/,APOBEC-D/PA/,APOBEC-D/PAW/,APOBEC-D/NA/,APOBEC-D/NAW/,SBS5/PC/,SBS5/PCW/,SBS5/NC/,SBS5/NCW/,SBS5/PA/,SBS5/PAW/,SBS5/NA/,SBS5/NAW/,SBS8/PC/,SBS8/PCW/,SBS8/NC/,SBS8/NCW/,SBS8/PA/,SBS8/PAW/,SBS8/NA/,SBS8/NAW/,SBS8/PC/,SBS8/PCW/,SBS8/NC/,SBS8/NCW/,HRD status/PA/,HRD status/PAW/,HRD status/NA/,HRD status/NAW/
,,,,TRIM28,0.008442219,TOLLIP,-0.008033846,,,,,FAM115C,0.005690024,CD151,-0.003232178,,,,,RFTN1,0.006535428,IL18BP,-0.007643228,,,,,RPA3,0.006967587,RFC1,-0.008825636,,,,,TIMELESS,0.008014631,TWSG1,-0.009478712,,,,,PAK2,0.006835041,MYO1C,-0.009209125,,,,,CCL5,0.008773023,PTEN,-0.004126547
,,,,PODXL,0.008374908,VTN,-0.007531412,,,,,IRF9,0.005631181,CEP164,-0.002455642,,,,,HSP90AB1,0.006467648,VAV2,-0.007033402,,,,,NSMCE1,0.006602567,GRHL2,-0.00878643,,,,,CD46,0.006958411,USP28,-0.009287608,,,,,CDCA5,0.006826003,CTPS,-0.009073627,,,,,RHOH,0.008112978,HLA-F,-0.004030965
,,,,TUBB,0.007723454,AP2A2,-0.00720604,,,,,NDRG1,0.005273537,BTRC,-0.002442876,,,,,WDR70,0.005648899,AP3D1,-0.007007089,,,,,RBPJ,0.0059859,TFIP11,-0.007949569,,,,,NBEAL2,0.00574192,POLR2L,-0.008891037,,,,,GEM,0.006491515,RNF138,-0.009051162,,,,,HLA-DPA1,0.007927622,RUVBL1,-0.003643593
,,,,ARMC6,0.006833453,MUS81,-0.007178881,,,,,MAFB,0.004860104,IL10RB,-0.001891541,,,,,EFCAB4B,0.005471541,RAB34,-0.006158489,,,,,CCL5,0.005958665,MALT1,-0.007940443,,,,,SMG7,0.005419175,RNF113A,-0.008502292,,,,,RFC1,0.006103228,GTF2H4,-0.009021416,,,,,LTB,0.007857378,RNF8,-0.003576903
,,,,ERI3,0.006719317,SWAP70,-0.007034435,,,,,NLRC5,0.004507942,POLL,-0.001579288,,,,,HNRNPA2B1,0.004775386,PIK3C3,-0.005673137,,,,,CYBA,0.005851389,TYRO3,-0.007864255,,,,,BACH1,0.004468355,TNFSF4,-0.008318182,,,,,KIF22,0.005861498,ERI1,-0.008941405,,,,,NSMCE2,0.006857319,MALT1,-0.00309003
,,,,ABCF3,0.006338848,FST,-0.006740241,,,,,HSP90AA1,0.004344237,SMC3,-0.001032083,,,,,ETV6,0.004550605,RECQL,-0.005260465,,,,,INO80D,0.005309484,FCER1G,-0.007664033,,,,,RUVBL1,0.003881223,POLR3H,-0.008044755,,,,,NFATC2,0.00565308,MBD3,-0.008892265,,,,,POLD4,0.006675031,POLR3K,-0.002987216
,,,,DDB1,0.006113838,NSMCE1,-0.00656459,,,,,PMS1,0.003703854,DNMT3B,-0.000503624,,,,,PRMT7,0.004507516,PSMD9,-0.005171104,,,,,DUSP1,0.00526951,POLR3H,-0.007645591,,,,,MAP4K2,0.003559823,PRMT6,-0.007708569,,,,,SKP1,0.005347121,SMG5,-0.008161075,,,,,RECQL5,0.006632503,PSMB8,-0.002550455
,,,,KLHL15,0.006074574,KRBA2,-0.006476947,,,,,SNX10,0.003532888,FZD7,-0.000438725,,,,,EXOSC9,0.003512431,CHRNB2,-0.004989508,,,,,RAD52,0.005125744,ATP6V0A2,-0.007625031,,,,,ATP6V0A2,0.00351243,MICA,-0.007686058,,,,,MAP2K2,0.00530985,EHMT2,-0.008111407,,,,,AEN,0.006435392,SEC24C,-0.002389573
,,,,NOP10,0.005839891,BECN1,-0.005168259,,,,,RAN,0.002843323,CD276,-0.000374648,,,,,C1orf38,0.003483061,OSBPL1A,-0.004830533,,,,,DHX9,0.005035773,JMJD6,-0.007541919,,,,,DNMT3B,0.003408517,XRCC5,-0.007465853,,,,,LRRC8A,0.005295751,8-Mar,-0.007658082,,,,,LSM14A,0.005444416,POLR2E,-0.00175734
,,,,MAPK14,0.005516465,TLR3,-0.004994816,,,,,PSMC4,0.002412057,,,,,,,GOLPH3,0.003304646,RAB27A,-0.00453578,,,,,AMICA1,0.004964952,MLL5,-0.00752031,,,,,ACTR2,0.003063794,ADAMTS13,-0.007217733,,,,,CTNNBL1,0.005267121,SEC13,-0.007627428,,,,,HIST1H2BF,0.005224811,TPO,-0.001040336
