Samples,HRDstatus,DSBrepair,APOBEC-C,SBS1,APOBEC-D,SBS5,SBS8
11818,0,3.496507561,4.143134726,5.564520407,0,0,4.59511985
11819,0,3.850147602,2.890371758,5.501258211,0,0,2.833213344
13296,4.218111454,9.621853819,7.684783944,6.869014451,0,2.197224577,0
13297,4.218111454,8.344742754,6.733401892,0.693147181,0,2.833213344,0
13298,0,7.491087594,6.901737207,6.854354502,5.220355825,4.532599493,7.129297549
13299,4.218111454,8.515391569,8.425735581,5.720311777,6.555356892,1.098612289,0
13302,0,4.234106505,3.258096538,6.947937069,5.937536205,4.94875989,6.820016365
13304,0,1.609437912,3.433987204,6.562444094,3.36729583,0,5.877735782
13306,0,2.63905733,1.386294361,6.12249281,5.966146739,2.564949357,6.137727054
13307,0,3.663561646,7.00033446,6.577861358,7.54538975,3.433987204,6.728628613
13310,0,2.564949357,3.465735903,6.249975242,4.430816799,3.135494216,4.762173935
13311,4.218111454,8.326758815,2.48490665,5.420534999,0,0,0
13312,0,4.060443011,3.970291914,5.624017506,0,0,0
13416,0,2.63905733,3.63758616,6.293419279,4.477336814,0,5.874930731
13418,0,7.106606138,7.637234389,7.301147806,7.043159916,4.779123493,5.068904202
13419,0,1.945910149,3.63758616,5.164785974,4.248495242,0,2.079441542
13420,0,4.262679877,4.007333185,6.37502482,0,3.218875825,5.713732806
13422,0,3.36729583,3.737669618,6.492239835,4.615120517,2.197224577,5.620400866
13424,0,5.598421959,5.549076085,7.221835825,5.198497031,3.295836866,7.244941546
13426,0,2.564949357,2.48490665,6.182084907,5.332718793,4.234106505,5.38907173
13427,0,1.609437912,3.36729583,5.323009979,0,0,2.079441542
13428,0,3.761200116,5.017279837,6.09356977,0,3.218875825,3.295836866
13619,0,3.610917913,3.871201011,5.872117789,4.672828834,1.609437912,0
13622,0,5.509388337,2.397895273,7.215239979,4.382026635,3.970291914,6.958448393
13623,0,3.401197382,6.198478716,5.771441123,7.290292882,2.197224577,2.63905733
13625,0,5.723585102,6.352629396,7.359467638,6.295266001,3.044522438,8.573573525
13626,0,2.833213344,3.737669618,5.298317367,3.135494216,1.609437912,3.931825633
13629,0,2.079441542,3.663561646,6.144185634,5.976350909,0,5.583496309
13631,0,3.555348061,4.820281566,5.799092654,5.278114659,0,5.147494477
13752,0,3.663561646,4.356708827,6.03068526,5.003946306,1.609437912,6.658011046
13754,0,3.465735903,4.477336814,5.902633333,0,3.761200116,4.234106505
13755,4.218111454,2.197224577,3.871201011,5.697093487,4.605170186,0,4.317488114
13761,0,1.791759469,3.555348061,5.347107531,0,0,4.317488114
13766,0,2.48490665,6.787844982,5.673323267,7.38274645,2.397895273,5.552959585
13768,0,1.791759469,3.295836866,5.693732139,4.110873864,0,0
13770,4.218111454,3.17805383,3.970291914,6.171700597,4.844187086,2.564949357,5.857933154
13771,4.218111454,8.738254577,7.196686571,0.693147181,6.827629235,4.532599493,8.158516245
14432,0,2.397895273,3.688879454,5.505331536,0,1.098612289,4.976733742
14435,0,4.127134385,5.828945618,6.788971743,5.356586275,4.418840608,6.532334292
14437,4.218111454,4.820281566,5.826000107,6.400257445,5.393627546,2.397895273,7.014814351
14439,0,1.386294361,1.791759469,5.683579767,4.59511985,0,2.397895273
14441,0,6.7310181,5.416100402,5.82008293,5.327876169,0,7.437795122
14442,0,3.433987204,3.610917913,5.501258211,4.418840608,4.043051268,5.713732806
14460,0,2.397895273,7.017506143,6.732210706,7.480428306,2.564949357,5.231108617
14461,0,3.091042453,3.784189634,5.598421959,0,3.555348061,2.564949357
18017,0,3.091042453,4.369447852,5.605802066,4.718498871,2.564949357,4.33073334
18020,0,9.213236175,8.398184405,6.538139824,6.018593214,0,7.659642955
18022,0,5.351858133,4.709530201,6.335054251,4.727387819,1.609437912,5.966146739
18024,0,9.208939391,6.054439346,6.238324625,0,0,4.779123493
18031,0,4.262679877,5.564520407,6.135564891,5.093750201,1.609437912,5.525452939
18037,0,4.356708827,5.332718793,8.084254106,5.799092654,4.077537444,0
18259,4.218111454,7.403061091,6.17586727,6.447305863,6.338594078,4.727387819,8.058327307
18730,0,2.564949357,6.336825731,5.666426688,6.040254711,2.197224577,0
18734,0,4.189654742,5.129898715,6.941190055,5.056245805,2.944438979,7.401231264
